P1 P2 P3 P4 P5 $x1$ $x2$ 
19 0 0 0 10 5884.0 13.546999999998661 
19 1 1 0 10 5884.0 14.562000000005355 
19 2 2 0 10 5884.0 14.968999999997322 
19 3 3 0 10 5884.0 18.718000000000757 
19 4 4 0 10 5884.0 19.235000000000582 
19 5 5 0 10 5884.0 19.5940000000046 
19 6 6 0 10 5884.0 19.85899999999674 
19 7 7 0 10 5884.0 20.140999999995984 
19 8 8 0 10 5884.0 20.29699999999866 
19 9 9 0 10 5884.0 20.577999999994063 
19 10 10 0 10 5884.0 21.5 
19 11 11 0 10 5884.0 21.985000000000582 
19 12 12 0 10 5884.0 21.765999999995984 
19 13 13 0 10 5884.0 22.625 
19 14 14 0 10 5884.0 22.889999999999418 
19 15 15 0 10 5884.0 23.843999999997322 
19 16 16 0 10 5884.0 24.389999999999418 
19 17 17 0 10 5884.0 24.343000000000757 
