P1 P2 P3 P4 P5 $x1$ $x2$ 
19 0 0 0 10 5632.0 11.828000000001339 
19 1 1 0 10 5632.0 12.734000000004016 
19 2 2 0 10 5632.0 12.98399999999674 
19 3 3 0 10 5632.0 13.546999999998661 
19 4 4 0 10 5632.0 15.01600000000326 
19 5 5 0 10 5632.0 14.56199999999808 
19 6 6 0 10 5632.0 14.905999999995402 
19 7 7 0 10 5632.0 15.093999999997322 
19 8 8 0 10 5632.0 15.890999999995984 
19 9 9 0 10 5632.0 16.187000000005355 
19 10 10 0 10 5632.0 19.29699999999866 
19 11 11 0 10 5632.0 20.156999999999243 
19 12 12 0 10 5632.0 21.468999999997322 
19 13 13 0 10 5632.0 21.5 
19 14 14 0 10 5632.0 21.735000000000582 
19 15 15 0 10 5632.0 22.20300000000134 
19 16 16 0 10 5632.0 22.6559999999954 
19 17 17 0 10 5632.0 23.014999999999418 
19 18 18 0 10 5303.0 23.25 
19 19 19 0 10 5303.0 24.0 
