P1 P2 P3 P4 P5 $x1$ $x2$ 
19 0 0 0 10 1999.0 5.187000000005355 
19 1 1 0 10 1999.0 5.4060000000026776 
19 2 2 0 10 1999.0 5.3289999999979045 
19 3 3 0 10 1999.0 5.577999999994063 
19 4 4 0 10 1999.0 5.5310000000026776 
19 5 5 0 10 1999.0 5.437000000005355 
19 6 6 0 10 1999.0 5.64100000000326 
19 7 7 0 10 1999.0 6.125 
19 8 8 0 10 1999.0 5.671999999991385 
19 9 9 0 10 1999.0 7.25 
19 10 10 0 10 1999.0 7.453000000008615 
19 11 11 0 10 1999.0 7.389999999999418 
19 12 12 0 10 1999.0 9.218999999997322 
19 13 13 0 10 1999.0 9.35899999999674 
19 14 14 0 10 1999.0 9.64100000000326 
19 15 15 0 10 1999.0 9.686999999990803 
19 16 16 0 10 1999.0 10.062999999994645 
19 17 17 0 10 1999.0 10.53200000000652 
19 18 18 0 10 1999.0 10.375 
19 19 19 0 10 1999.0 10.5 
19 20 20 0 10 1999.0 10.656000000002678 
19 21 21 0 10 1999.0 10.781000000002678 
19 22 22 0 10 1999.0 11.14100000000326 
19 23 23 0 10 1999.0 11.593999999997322 
19 24 24 0 10 1999.0 11.406000000002678 
19 25 25 0 10 1999.0 12.5 
19 26 26 0 10 1999.0 12.828999999997905 
19 27 27 0 10 1999.0 13.062000000005355 
19 28 28 0 10 1999.0 13.297000000005937 
19 29 29 0 10 1999.0 13.953000000008615 
19 30 30 0 10 1999.0 13.73399999999674 
19 31 31 0 10 1999.0 13.906000000002678 
19 32 32 0 10 1999.0 14.702999999994063 
19 33 33 0 10 1999.0 15.0 
