P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 20 5 34.0 0.11000000000058208 
6 50 25 20 5 59.0 0.10899999999674037 
7 50 25 20 5 61.0 0.21899999999732245 
8 50 25 20 5 95.0 0.5930000000080327 
9 50 25 20 5 130.0 4.219000000011874 
10 50 25 20 5 115.0 5.89100000000326 
11 50 25 20 5 107.0 34.171999999991385 
12 50 25 20 5 140.0 2.3439999999973224 
