P1 P2 P3 P4 P5 $x1$ $x2$ 
19 50 25 0 0 1754.0 8.218999999997322 
19 50 25 1 1 1754.0 5.734000000011292 
19 50 25 2 2 1754.0 5.9060000000026776 
19 50 25 3 3 1754.0 6.828000000008615 
19 50 25 4 4 1754.0 7.342999999993481 
19 50 25 5 5 1754.0 7.702999999994063 
19 50 25 6 6 1754.0 8.031000000002678 
19 50 25 7 7 1754.0 8.655999999988126 
19 50 25 8 8 1754.0 9.093999999997322 
19 50 25 9 9 1754.0 9.953000000008615 
19 50 25 10 10 1754.0 10.360000000000582 
19 50 25 11 11 1754.0 10.702999999994063 
19 50 25 12 12 1754.0 11.561999999990803 
19 50 25 13 13 1754.0 12.203000000008615 
19 50 25 14 14 1754.0 13.48399999999674 
19 50 25 15 15 1754.0 13.296999999991385 
19 50 25 16 16 1754.0 13.85899999999674 
19 50 25 17 17 1754.0 14.390999999988708 
19 50 25 18 18 1754.0 14.811999999990803 
19 50 25 19 19 1754.0 16.639999999999418 
19 50 25 20 20 1754.0 17.797000000005937 
19 50 25 21 21 1754.0 17.968999999997322 
19 50 25 22 22 1754.0 18.60899999999674 
19 50 25 23 23 1754.0 19.421999999991385 
19 50 25 24 24 1754.0 20.093999999997322 
19 50 25 25 25 1754.0 20.672000000005937 
19 50 25 26 26 1747.0 21.39100000000326 
