P1 P2 P3 P4 P5 $x1$ $x2$ 
19 50 25 0 0 1894.0 6.202999999994063 
19 50 25 0 1 1894.0 6.546999999991385 
19 50 25 0 2 1894.0 7.812999999994645 
19 50 25 0 3 1894.0 6.953000000008615 
19 50 25 0 4 1894.0 7.14100000000326 
19 50 25 0 5 1894.0 7.813000000009197 
19 50 25 0 6 1894.0 8.360000000000582 
19 50 25 0 7 1894.0 8.781000000002678 
19 50 25 0 8 1894.0 8.828999999997905 
19 50 25 0 9 1894.0 9.172000000005937 
19 50 25 0 10 1894.0 9.436999999990803 
19 50 25 0 11 1894.0 9.921999999991385 
19 50 25 0 12 1894.0 10.125 
19 50 25 0 13 1894.0 11.21799999999348 
19 50 25 0 14 1894.0 11.60899999999674 
19 50 25 0 15 1894.0 11.921999999991385 
19 50 25 0 16 1894.0 12.702999999994063 
19 50 25 0 17 1894.0 13.468999999997322 
19 50 25 0 18 1894.0 13.562999999994645 
19 50 25 0 19 1894.0 13.735000000000582 
19 50 25 0 20 1894.0 14.437999999994645 
19 50 25 0 21 1894.0 14.796000000002095 
19 50 25 0 22 1894.0 15.672000000005937 
19 50 25 0 23 1894.0 16.01600000000326 
19 50 25 0 24 1894.0 17.562000000005355 
19 50 25 0 25 1894.0 20.40700000000652 
19 50 25 0 26 1894.0 20.71799999999348 
19 50 25 0 27 1894.0 21.5 
