P1 $x1$ $x2$ 
0 3200.0 0.5940000000009604 
1 3200.0 0.625 
2 3200.0 0.7340000000003783 
3 3200.0 0.7809999999990396 
4 2875.0 0.7659999999996217 
5 2875.0 0.5469999999986612 
6 2856.0 0.5159999999996217 
7 2856.0 0.6879999999982829 
8 2856.0 0.6719999999986612 
9 2856.0 0.7189999999973224 
10 2856.0 0.6879999999982829 
11 2856.0 0.5470000000022992 
12 2856.0 0.5159999999996217 
13 2856.0 0.6090000000003783 
14 2856.0 0.5159999999996217 
15 2856.0 0.5160000000032596 
16 2856.0 0.5319999999992433 
17 2856.0 0.5159999999996217 
18 2856.0 0.5309999999990396 
19 2856.0 0.5459999999984575 
20 2856.0 0.625 
21 2856.0 0.5469999999986612 
22 2856.0 0.5320000000028813 
23 2856.0 0.5470000000022992 
24 2856.0 0.5780000000013388 
25 2856.0 0.5630000000019209 
26 2856.0 0.5469999999986612 
27 2856.0 0.5469999999986612 
28 2856.0 0.5939999999973224 
29 2856.0 0.5629999999982829 
30 2856.0 0.5469999999986612 
31 2856.0 0.5630000000019209 
32 2856.0 0.5779999999977008 
33 2856.0 0.5780000000013388 
34 2856.0 0.5630000000019209 
35 2856.0 0.5940000000009604 
36 2856.0 0.5930000000007567 
37 2856.0 0.5940000000009604 
38 2856.0 0.5929999999971187 
39 2856.0 0.5780000000013388 
40 2856.0 0.5940000000009604 
41 2856.0 0.5940000000009604 
42 2856.0 0.5779999999977008 
43 2856.0 0.5780000000013388 
44 2856.0 0.5939999999973224 
45 2856.0 0.6100000000005821 
46 2856.0 0.5779999999977008 
47 2856.0 0.625 
48 2856.0 0.6090000000003783 
49 2856.0 0.625 
50 2856.0 0.6089999999967404 
51 2856.0 0.6709999999984575 
52 2856.0 0.6090000000003783 
53 2856.0 0.6100000000005821 
54 2856.0 0.6090000000003783 
55 2856.0 0.625 
56 2856.0 0.6720000000022992 
57 2856.0 0.625 
58 2856.0 0.625 
59 2856.0 0.625 
60 2856.0 0.6559999999990396 
61 2856.0 0.6409999999996217 
62 2856.0 0.7339999999967404 
63 2856.0 0.6559999999990396 
64 2856.0 0.6559999999990396 
65 2856.0 0.6569999999992433 
66 2856.0 0.6569999999992433 
67 2856.0 0.6559999999990396 
68 2856.0 0.6570000000028813 
69 2856.0 0.6559999999990396 
70 2856.0 0.6559999999990396 
71 2856.0 0.6719999999986612 
72 2856.0 0.7029999999977008 
73 2856.0 0.6879999999982829 
74 2856.0 0.7029999999977008 
75 2856.0 0.6879999999982829 
76 2856.0 0.7339999999967404 
77 2856.0 0.6709999999984575 
78 2856.0 0.7180000000007567 
79 2856.0 0.5630000000019209 
80 2856.0 0.6559999999990396 
81 2856.0 0.6880000000019209 
82 2856.0 0.5780000000013388 
83 2856.0 0.5630000000019209 
84 2856.0 0.5929999999971187 
