P1 $x1$ $x2$ 
0 2979.0 0.5620000000017171 
1 2979.0 0.6870000000017171 
2 2979.0 0.5790000000015425 
3 2979.0 0.5929999999971187 
4 2694.0 0.5 
5 2694.0 0.5940000000009604 
6 2417.0 0.6100000000005821 
7 2417.0 0.625 
8 2417.0 0.7190000000009604 
9 2417.0 0.6719999999986612 
10 2417.0 0.7180000000007567 
11 2417.0 0.7809999999990396 
12 2148.0 1.0160000000032596 
13 2148.0 0.9220000000022992 
14 2115.0 1.0 
15 2115.0 1.5 
16 2115.0 1.2659999999996217 
17 2115.0 1.25 
18 2115.0 1.375 
19 2115.0 1.3590000000003783 
20 2115.0 1.25 
21 2115.0 1.389999999999418 
22 2115.0 1.514999999999418 
23 2115.0 1.625 
24 2115.0 1.375 
25 2115.0 1.5 
26 2099.0 1.6559999999990396 
27 1872.0 1.5309999999990396 
28 1872.0 1.6869999999980791 
29 1872.0 1.5620000000017171 
30 1872.0 1.6870000000017171 
31 1872.0 1.6719999999986612 
32 1872.0 1.7969999999986612 
33 1841.0 1.6409999999996217 
34 1841.0 1.875 
35 1841.0 2.422000000002299 
36 1841.0 2.389999999999418 
37 1841.0 3.4059999999990396 
38 1841.0 2.7340000000003783 
39 1841.0 2.5319999999992433 
40 1841.0 2.639999999999418 
