P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1440.0 0.014999999999417923 
6 50 25 0 10 1878.0 0.01600000000325963 
7 50 25 0 10 2076.0 0.031000000002677552 
8 50 25 0 10 2186.0 0.062000000005355105 
9 50 25 0 10 2591.0 0.07800000000861473 
10 50 25 0 10 2949.0 0.14100000000325963 
11 50 25 0 10 3350.0 0.25 
12 50 25 0 10 3605.0 0.28100000000267755 
13 50 25 0 10 3912.0 0.45300000000861473 
14 50 25 0 10 4234.0 0.46899999999732245 
15 50 25 0 10 4500.0 0.6100000000005821 
16 50 25 0 10 4994.0 0.8119999999908032 
17 50 25 0 10 5109.0 0.9060000000026776 
18 50 25 0 10 5696.0 1.2970000000059372 
19 50 25 0 10 5874.0 1.125 
20 50 25 0 10 6165.0 1.6410000000032596 
21 50 25 0 10 6218.0 2.014999999999418 
22 50 25 0 10 6523.0 2.0780000000086147 
