P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1558.0 0.016000000000076398 
6 50 25 0 10 1367.0 0.09399999999982356 
7 50 25 0 10 2266.0 0.10999999999989996 
8 50 25 0 10 1975.0 0.26500000000010004 
9 50 25 0 10 2101.0 0.40600000000017644 
10 50 25 0 10 3019.0 0.6710000000000491 
11 50 25 0 10 2453.0 0.9220000000000255 
12 50 25 0 10 3926.0 1.765999999999849 
13 50 25 0 10 3492.0 2.140999999999849 
14 50 25 0 10 4379.0 4.155999999999949 
15 50 25 0 10 3852.0 6.563000000000102 
16 50 25 0 10 4627.0 9.297000000000025 
17 50 25 0 10 4848.0 17.047000000000025 
18 50 25 0 10 5234.0 22.07899999999995 
19 50 25 0 10 5833.0 35.906999999999925 
20 50 25 0 10 5512.0 39.531000000000176 
21 50 25 0 10 5810.0 53.422000000000025 
22 50 25 0 10 5432.0 80.65599999999995 
23 50 25 0 10 5435.0 108.28099999999995 
