P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1366.0 0.01499999999987267 
6 50 25 0 10 1774.0 0.06300000000010186 
7 50 25 0 10 2172.0 0.1410000000000764 
8 50 25 0 10 2383.0 0.20299999999997453 
9 50 25 0 10 2706.0 0.28099999999994907 
10 50 25 0 10 2956.0 0.48500000000012733 
11 50 25 0 10 3207.0 1.1410000000000764 
12 50 25 0 10 3396.0 1.25 
13 50 25 0 10 3961.0 2.6100000000001273 
14 50 25 0 10 4200.0 4.030999999999949 
15 50 25 0 10 4139.0 4.063000000000102 
16 50 25 0 10 4761.0 8.280999999999949 
17 50 25 0 10 4400.0 9.969000000000051 
18 50 25 0 10 4814.0 22.077999999999975 
19 50 25 0 10 5208.0 31.233999999999924 
20 50 25 0 10 4893.0 82.54700000000003 
21 50 25 0 10 5358.0 109.75 
22 50 25 0 10 6098.0 118.39100000000008 
23 50 25 0 10 5564.0 114.6880000000001 
