P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1390.0 0.03099999999994907 
6 50 25 0 10 1495.0 0.10900000000037835 
7 50 25 0 10 1687.0 0.15599999999994907 
8 50 25 0 10 2718.0 0.1720000000004802 
9 50 25 0 10 2400.0 0.375 
10 50 25 0 10 2852.0 0.46900000000005093 
11 50 25 0 10 3460.0 0.7190000000000509 
12 50 25 0 10 3541.0 1.280999999999949 
13 50 25 0 10 2800.0 2.1400000000003274 
14 50 25 0 10 4184.0 3.405999999999949 
15 50 25 0 10 4119.0 5.5 
16 50 25 0 10 4286.0 10.155999999999949 
17 50 25 0 10 4665.0 17.765000000000327 
18 50 25 0 10 5225.0 15.657000000000153 
19 50 25 0 10 4885.000000000001 195.39099999999962 
20 50 25 0 10 5472.0 53.79699999999957 
21 50 25 0 10 5238.0 67.65700000000015 
22 50 25 0 10 5851.0 76.125 
23 50 25 0 10 6552.0 97.34400000000005 
