P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1661.0 0.04699999999957072 
6 50 25 0 10 2033.0 0.2960000000002765 
7 50 25 0 10 2198.0 0.3429999999998472 
8 50 25 0 10 2068.0 0.21900000000005093 
9 50 25 0 10 2645.0 0.5779999999995198 
10 50 25 0 10 2584.0 0.7650000000003274 
11 50 25 0 10 3276.0 1.0 
12 50 25 0 10 3317.0 1.969000000000051 
13 50 25 0 10 3505.0 2.186999999999898 
14 50 25 0 10 3975.0 3.25 
15 50 25 0 10 3903.0 5.25 
16 50 25 0 10 3820.0 10.296000000000276 
17 50 25 0 10 4559.0 13.125 
18 50 25 0 10 4468.0 20.859999999999673 
19 50 25 0 10 4881.0 34.84400000000005 
20 50 25 0 10 5477.0 47.71900000000005 
21 50 25 0 10 5937.0 61.25 
22 50 25 0 10 5321.0 98.40599999999995 
23 50 25 0 10 5450.0 224.375 
