P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1571.0 0.014999999999417923 
6 50 25 0 10 1731.0 0.046999999998661224 
7 50 25 0 10 2149.0 0.10900000000037835 
8 50 25 0 10 2378.0 0.23500000000058208 
9 50 25 0 10 2712.0 0.35900000000037835 
10 50 25 0 10 2974.0 0.6090000000003783 
11 50 25 0 10 2944.0 0.75 
12 50 25 0 10 3236.0 1.0940000000009604 
13 50 25 0 10 3771.0 1.9680000000007567 
14 50 25 0 10 3854.0 3.0940000000009604 
15 50 25 0 10 4058.0 6.734000000000378 
16 50 25 0 10 3975.0 10.187999999998283 
17 50 25 0 10 3831.0 11.235000000000582 
18 50 25 0 10 5067.0 25.01600000000326 
19 50 25 0 10 5433.0 26.281999999999243 
20 50 25 0 10 5273.0 32.76599999999962 
21 50 25 0 10 5048.0 62.67199999999866 
22 50 25 0 10 6318.0 71.26599999999962 
23 50 25 0 10 6373.0 101.09400000000096 
