P1 P2 P3 P4 P5 $x1$ $x2$ 
5 50 25 0 10 1416.0 0.01600000000325963 
6 50 25 0 10 1784.0 0.062000000005355105 
7 50 25 0 10 1973.0 0.14100000000325963 
8 50 25 0 10 2184.0 0.23500000000058208 
9 50 25 0 10 2385.0 0.3600000000005821 
10 50 25 0 10 3261.0 0.5620000000053551 
11 50 25 0 10 3120.0 0.7970000000059372 
12 50 25 0 10 3594.0 1.4219999999913853 
13 50 25 0 10 4056.0 1.8590000000112923 
14 50 25 0 10 3646.0 3.9689999999973224 
15 50 25 0 10 3741.0 5.375 
16 50 25 0 10 4174.0 9.01600000000326 
17 50 25 0 10 4729.0 13.0 
18 50 25 0 10 5374.0 17.578999999997905 
19 50 25 0 10 4718.0 26.389999999999418 
20 50 25 0 10 5687.0 37.15699999999197 
21 50 25 0 10 5825.0 46.34399999999732 
22 50 25 0 10 5727.0 68.10899999999674 
23 50 25 0 10 5686.0 207.21899999999732 
24 50 25 0 10 7459.0 136.76600000000326 
25 50 25 0 10 6931.0 162.98399999999674 
26 50 25 0 10 5949.0 6470.625 
